Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Nodes keep percentage is :  1.0
** Start training **
Epoch #18 cost=0.000687
Epoch #19 cost=0.000673
Epoch #20 cost=0.000657
Epoch #21 cost=0.000643
Epoch #22 cost=0.000628
Epoch #23 cost=0.000622
Epoch #24 cost=0.000612
Epoch #25 cost=0.000598
Epoch #26 cost=0.000593
Epoch #27 cost=0.000577
Epoch #28 cost=0.000571
Epoch #29 cost=0.000563
Epoch #30 cost=0.000545
Epoch #31 cost=0.000536
Epoch #32 cost=0.000522
Epoch #33 cost=0.000509
Epoch #34 cost=0.000493
Epoch #35 cost=0.000481
Epoch #36 cost=0.000468
Epoch #37 cost=0.000456
Epoch #38 cost=0.000446
Epoch #39 cost=0.000435
Epoch #40 cost=0.000426
Epoch #41 cost=0.000417
Epoch #42 cost=0.000409
Epoch #43 cost=0.000399
Epoch #44 cost=0.000394
Epoch #45 cost=0.000384
Epoch #46 cost=0.000378
Epoch #47 cost=0.000370
Epoch #48 cost=0.000363
Epoch #49 cost=0.000358
Nodes keep percentage is :  0.95
** Start training **
Epoch #0 cost=0.039329
Epoch #1 cost=0.035505
Epoch #2 cost=0.031615
Epoch #3 cost=0.028172
Epoch #4 cost=0.027385
Epoch #5 cost=0.027076
Epoch #6 cost=0.026677
Epoch #7 cost=0.026204
Epoch #8 cost=0.025840
Epoch #9 cost=0.025579
Epoch #10 cost=0.025313
Epoch #11 cost=0.025070
Epoch #12 cost=0.024897
Epoch #13 cost=0.024767
Epoch #14 cost=0.024572
Epoch #15 cost=0.024433
Epoch #16 cost=0.024255
Epoch #17 cost=0.024092
Epoch #18 cost=0.023920
Epoch #19 cost=0.023736
Epoch #20 cost=0.023566
Epoch #21 cost=0.023387
Epoch #22 cost=0.023202
Epoch #23 cost=0.023006
Epoch #24 cost=0.022832
Epoch #25 cost=0.022651
Epoch #26 cost=0.022482
Epoch #27 cost=0.022276
Epoch #28 cost=0.022120
Epoch #29 cost=0.021933
Epoch #30 cost=0.021794
Epoch #31 cost=0.021608
Epoch #32 cost=0.021480
Epoch #33 cost=0.021307
Epoch #34 cost=0.021177
Epoch #35 cost=0.021034
Epoch #36 cost=0.020928
Epoch #37 cost=0.020764
Epoch #38 cost=0.020703
Epoch #39 cost=0.020493
Epoch #40 cost=0.020536
Epoch #41 cost=0.020289
Epoch #42 cost=0.020300
Epoch #43 cost=0.020056
Epoch #44 cost=0.020147
Epoch #45 cost=0.019911
Epoch #46 cost=0.019913
Epoch #47 cost=0.019658
Epoch #48 cost=0.019739
Epoch #49 cost=0.019510
** Start training **
Epoch #0 cost=0.038870
Epoch #1 cost=0.035359
Epoch #2 cost=0.030857
Epoch #3 cost=0.028049
Epoch #4 cost=0.027492
Epoch #5 cost=0.027044
Epoch #6 cost=0.026628
Epoch #7 cost=0.026213
Epoch #8 cost=0.025946
Epoch #9 cost=0.025653
Epoch #10 cost=0.025421
Epoch #11 cost=0.025200
Epoch #12 cost=0.025033
